10;213110199;00001590198,68;C;00007167709,15;00007762964,07;00002185453,60;C;
15;213110199;F;00001590198,68;C;00007167709,15;00007762964,07;00002185453,60;C;
10;218810101;00000292867,93;C;00000257724,97;00000255604,10;00000290747,06;C;
15;218810101;F;00000292867,93;C;00000257724,97;00000255604,10;00000290747,06;C;
10;218810102;00000138869,50;C;00000216418,13;00000207515,78;00000129967,15;C;
15;218810102;F;00000138869,50;C;00000216418,13;00000207515,78;00000129967,15;C;
10;218810103;00000000357,08;C;00000000000,00;00000000000,00;00000000357,08;C;
15;218810103;F;00000000357,08;C;00000000000,00;00000000000,00;00000000357,08;C;
10;218810104;00000188449,74;C;00000000000,00;00000000000,00;00000188449,74;C;
15;218810104;F;00000188449,74;C;00000000000,00;00000000000,00;00000188449,74;C;
10;218810105;00000010000,00;C;00000000000,00;00000000000,00;00000010000,00;C;
15;218810105;F;00000010000,00;C;00000000000,00;00000000000,00;00000010000,00;C;
10;218810110;00000038388,80;C;00000003700,29;00000007539,01;00000042227,52;C;
10;218810112;00000112339,50;C;00000103636,56;00000051913,06;00000060616,00;C;
15;218810112;F;00000112339,50;C;00000103636,56;00000051913,06;00000060616,00;C;
10;218810113;00000094189,62;D;00000087808,27;00000084965,32;00000097032,57;D;
15;218810113;F;00000094189,62;D;00000087808,27;00000084965,32;00000097032,57;D;
10;218810114;00000018280,35;C;00000007617,66;00000006948,90;00000017611,59;C;
15;218810114;F;00000018280,35;C;00000007617,66;00000006948,90;00000017611,59;C;
10;218810115;00000210707,38;C;00000248450,62;00000130684,59;00000092941,35;C;
15;218810115;F;00000210707,38;C;00000248450,62;00000130684,59;00000092941,35;C;
10;218810116;00000130401,18;C;00000000000,00;00000009457,11;00000139858,29;C;
15;218810116;F;00000130401,18;C;00000000000,00;00000009457,11;00000139858,29;C;
10;218810301;00000000952,21;C;00000000000,00;00000000000,00;00000000952,21;C;
15;218810301;F;00000000952,21;C;00000000000,00;00000000000,00;00000000952,21;C;
10;218810405;00000049863,30;D;00000019103,00;00000000000,00;00000068966,30;D;
15;218810405;F;00000049863,30;D;00000019103,00;00000000000,00;00000068966,30;D;
